Size of finetuning dataset: 16947
{'loss': 0.0281, 'grad_norm': 0.001059519243426621, 'learning_rate': 9.952796790181732e-07, 'rewards/chosen': 4.168478488922119, 'rewards/rejected': -4.117368698120117, 'rewards/accuracies': 0.9900000095367432, 'rewards/margins': 8.285846710205078, 'logps/chosen': -16.11231231689453, 'logps/rejected': -300.60137939453125, 'logits/chosen': -0.7792966961860657, 'logits/rejected': 2.430508613586426, 'epoch': 0.02}
{'loss': 0.0002, 'grad_norm': 7.318239659070969e-05, 'learning_rate': 9.905593580363464e-07, 'rewards/chosen': 5.225327968597412, 'rewards/rejected': -7.824172496795654, 'rewards/accuracies': 1.0, 'rewards/margins': 13.04949951171875, 'logps/chosen': -5.775289535522461, 'logps/rejected': -358.3467712402344, 'logits/chosen': -1.9935389757156372, 'logits/rejected': 1.7635809183120728, 'epoch': 0.05}
{'loss': 0.0001, 'grad_norm': 0.005586345214396715, 'learning_rate': 9.858390370545197e-07, 'rewards/chosen': 5.401524066925049, 'rewards/rejected': -9.19738483428955, 'rewards/accuracies': 1.0, 'rewards/margins': 14.598907470703125, 'logps/chosen': -3.6946654319763184, 'logps/rejected': -356.2709045410156, 'logits/chosen': -2.1731204986572266, 'logits/rejected': 1.5056357383728027, 'epoch': 0.07}
{'loss': 0.0001, 'grad_norm': 0.0003344760916661471, 'learning_rate': 9.81118716072693e-07, 'rewards/chosen': 5.504982948303223, 'rewards/rejected': -10.443209648132324, 'rewards/accuracies': 1.0, 'rewards/margins': 15.948190689086914, 'logps/chosen': -3.051503896713257, 'logps/rejected': -367.8835144042969, 'logits/chosen': -2.2986040115356445, 'logits/rejected': 1.3434150218963623, 'epoch': 0.09}
{'loss': 0.0, 'grad_norm': 0.0002356628538109362, 'learning_rate': 9.763983950908662e-07, 'rewards/chosen': 5.534344673156738, 'rewards/rejected': -11.648653984069824, 'rewards/accuracies': 1.0, 'rewards/margins': 17.182998657226562, 'logps/chosen': -2.691603183746338, 'logps/rejected': -389.5369873046875, 'logits/chosen': -2.4409823417663574, 'logits/rejected': 1.2323106527328491, 'epoch': 0.12}
{'loss': 0.0, 'grad_norm': 6.349516479531303e-05, 'learning_rate': 9.716780741090394e-07, 'rewards/chosen': 5.5513482093811035, 'rewards/rejected': -12.600297927856445, 'rewards/accuracies': 1.0, 'rewards/margins': 18.15164566040039, 'logps/chosen': -2.1921896934509277, 'logps/rejected': -406.9030456542969, 'logits/chosen': -2.5487618446350098, 'logits/rejected': 1.104266881942749, 'epoch': 0.14}
{'loss': 0.0, 'grad_norm': 0.006760280579328537, 'learning_rate': 9.669577531272127e-07, 'rewards/chosen': 5.5773606300354, 'rewards/rejected': -13.189074516296387, 'rewards/accuracies': 1.0, 'rewards/margins': 18.766437530517578, 'logps/chosen': -2.1373000144958496, 'logps/rejected': -399.76141357421875, 'logits/chosen': -2.7268502712249756, 'logits/rejected': 1.0610098838806152, 'epoch': 0.17}
{'loss': 0.0, 'grad_norm': 1.648509964979894e-06, 'learning_rate': 9.62237432145386e-07, 'rewards/chosen': 5.60592794418335, 'rewards/rejected': -13.793342590332031, 'rewards/accuracies': 1.0, 'rewards/margins': 19.399269104003906, 'logps/chosen': -1.7665482759475708, 'logps/rejected': -407.2930603027344, 'logits/chosen': -2.802525281906128, 'logits/rejected': 0.9678524732589722, 'epoch': 0.19}
{'loss': 0.0, 'grad_norm': 4.4596446969080716e-05, 'learning_rate': 9.57517111163559e-07, 'rewards/chosen': 5.621960639953613, 'rewards/rejected': -14.249458312988281, 'rewards/accuracies': 1.0, 'rewards/margins': 19.871417999267578, 'logps/chosen': -1.7451709508895874, 'logps/rejected': -413.52569580078125, 'logits/chosen': -2.8756396770477295, 'logits/rejected': 0.8836333751678467, 'epoch': 0.21}
{'loss': 0.0, 'grad_norm': 3.068335718126036e-05, 'learning_rate': 9.527967901817323e-07, 'rewards/chosen': 5.676363945007324, 'rewards/rejected': -14.918875694274902, 'rewards/accuracies': 1.0, 'rewards/margins': 20.59524154663086, 'logps/chosen': -1.3773455619812012, 'logps/rejected': -413.3610534667969, 'logits/chosen': -2.9198288917541504, 'logits/rejected': 0.8055167198181152, 'epoch': 0.24}
{'loss': 0.0, 'grad_norm': 5.60625608159171e-07, 'learning_rate': 9.480764691999056e-07, 'rewards/chosen': 5.645863056182861, 'rewards/rejected': -16.194292068481445, 'rewards/accuracies': 1.0, 'rewards/margins': 21.84015464782715, 'logps/chosen': -1.484608769416809, 'logps/rejected': -437.7755126953125, 'logits/chosen': -2.9808037281036377, 'logits/rejected': 0.730603039264679, 'epoch': 0.26}
